Date,Precipitation,AirTemp_Avg,AirTemp_Max,AirTemp_Min,Humidity_Avg,Humidity_Min,WindSpeed_Avg,WindSpeed_Max,Cloud_O,Cloud_H,SoilTemp_Avg,SoilTemp_Max,SoilTemp_Min,SaturationDeficit_Avg,SaturationDeficit_Max
2010-01-01 00:00:00,0,9.4,16.7,2.1,57,31,1.5,2,5,7,5,20,-2,5.6,12.9
2010-01-02 00:00:00,0,9.8,18,3.8,58,28,1.6,2,2,6,5,16,1,5.7,13.7
2010-01-03 00:00:00,0.3,9.1,14.1,4.7,61,48,1.1,3,2,6,5,11,0,4.7,7.9
2010-01-04 00:00:00,0,13.2,17.6,9.3,44,29,3.1,6,2,6,8,17,0,8.9,13.4
2010-01-05 00:00:00,2.4,11.6,18.7,8.7,60,41,2.5,4,3,3,8,24,3,5.9,11.7
2010-01-06 00:00:00,6.7,6.6,14.2,0.1,73,39,3.3,4,2,2,4,8,-1,3.5,9.5
2010-01-07 00:00:00,3.2,-2.5,1.6,-3.4,97,96,1.1,2,2,3,-1,0,-2,0.13,0.23
2010-01-08 00:00:00,0,-3.3,0.5,-6.5,87,73,1.3,3,3,1,-3,1,-6,0.64,1.43
2010-01-09 00:00:00,0,-4.5,0.1,-8.1,79,73,1.9,3,4,7,-4,2,-8,0.95,1.33
2010-01-10 00:00:00,0,-4.3,1.1,-9,70,55,2.3,4,3,7,-4,4,-10,1.4,2.8
2010-01-11 00:00:00,0,-2.6,5.5,-8,57,29,1.9,3,7,7,-4,8,-8,2.5,6.03
2010-01-12 00:00:00,0,0.7,11.5,-6.7,51,23,1.4,2,4,7,-2,12,-9,3.7,9.8
2010-01-13 00:00:00,0,5.5,10.4,-0.8,47,35,3.1,6,6,6,1,9,-4,5,7.5
2010-01-14 00:00:00,0,2.9,9.4,-1.3,70,49,1.5,2,2,4,0,6,-3,2.5,4.61
2010-01-15 00:00:00,8,5.4,9.6,3.2,89,70,2.3,5,3,3,2,5,-1,1.1,3.3
2010-01-16 00:00:00,5.8,7.6,12.3,4,86,74,1.4,3,2,2,5,13,2,1.6,3.4
2010-01-17 00:00:00,7.8,4.3,10.9,-3.7,81,58,2.9,4,3,3,3,7,-2,2.1,5.3
2010-01-18 00:00:00,0.9,-6,-1.9,-8.5,83,61,1,2,3,3,-6,0,-10,0.7,1.86
2010-01-19 00:00:00,0,-7.2,1.1,-13.7,72,56,1,2,1,7,-9,1,-16,1.2,2.53
2010-01-20 00:00:00,0.3,0.2,6.2,-9.5,61,47,1.3,3,4,1,-5,2,-18,2.5,4.48
2010-01-21 00:00:00,2,5.6,11.6,1.6,88,76,1.1,2,2,2,2,9,-2,1.3,3.1
2010-01-22 00:00:00,0,6.2,12.2,3.9,82,76,1.1,2,2,6,4,12,0,1.7,2.6
2010-01-23 00:00:00,3,6,7.6,3.4,93,90,0.5,2,2,2,4,8,1,0.65,1.03
2010-01-24 00:00:00,12,3.2,6.5,1.6,96,86,1.4,2,3,3,3,9,1,0.36,1.27
2010-01-25 00:00:00,0,4.1,10.3,-1,82,55,1.3,3,3,3,3,16,-3,1.8,5.4
2010-01-26 00:00:00,0,7,15.6,1.3,60,36,1.8,2,6,7,3,16,-3,4.5,10.8
2010-01-27 00:00:00,7.7,6.2,9.1,3.9,84,66,2.1,4,2,2,3,8,1,1.6,3.5
2010-01-28 00:00:00,3.9,0,4.5,-2.9,97,90,1.8,3,3,3,0,4,-2,0.19,0.55
2010-01-29 00:00:00,1.9,-1.7,3.2,-4.8,87,65,1.3,2,3,3,-2,4,-5,0.81,2.59
2010-01-30 00:00:00,0,5.2,14.6,-1.4,59,32,1.8,3,2,6,2,15,-4,4.2,10.8
2010-01-31 00:00:00,0,5.2,12.3,0.9,72,57,1.4,2,6,5,3,12,-2,2.7,5.3
2010-02-01 00:00:00,0,6,11.2,2.3,72,51,1.4,2,6,1,4,16,-2,3,6.2
2010-02-02 00:00:00,0,6.2,12.4,1.6,66,45,1.5,2,7,7,3,17,-2,3.8,7.5
2010-02-03 00:00:00,1.8,4.3,9.1,0.7,77,63,1.9,4,4,4,1,9,-3,1.9,3.54
2010-02-04 00:00:00,0,2.1,5.1,0.1,83,65,0.6,1,2,2,3,7,0,1.3,2.77
